id,error_tag,confidence,rationale,proposed_fix
glc_D_B_c,deprecated_metanetx_id,high,MNXM1105026 is deprecated in MetaNetX 4.5,"replace with one of MNXM1364060,MNXM1364061,MNXM1364062"
gal1p_L_c,deprecated_metanetx_id,high,MNXM1106067 is deprecated in MetaNetX 4.5,"replace with one of MNXM1364212,MNXM1364213,MNXM1364214"
campstnl_c,deprecated_metanetx_id,high,MNXM736368 is deprecated in MetaNetX 4.5,"replace with one of MNXM1371753,MNXM1371754"
protdt_h,deprecated_metanetx_id,high,MNXM1222 is deprecated in MetaNetX 4.5,"replace with one of MNXM727373,MNXM727374,MNXM727375"
menlphnl_c,deprecated_metanetx_id,high,MNXM731614 is deprecated in MetaNetX 4.5,"replace with one of MNXM1371336,MNXM1371337"
protds_h,deprecated_metanetx_id,high,MNXM1221 is deprecated in MetaNetX 4.5,"replace with one of MNXM727363,MNXM727364,MNXM727365"
glc_D_B_h,deprecated_metanetx_id,high,MNXM1105026 is deprecated in MetaNetX 4.5,"replace with one of MNXM1364060,MNXM1364061,MNXM1364062"
5mtr_c,deprecated_metanetx_id,high,MNXM1592 is deprecated in MetaNetX 4.5,"replace with one of MNXM729971,MNXM729972"
dtct_h,deprecated_metanetx_id,high,MNXM48991 is deprecated in MetaNetX 4.5,"replace with one of MNXM1369785,MNXM1369786"
pdme1801829z12z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pchol1819z1845z9z12z15z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pdme1819z1835z9z12z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pdme1829z12z1835z9z12z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pdme1801819z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pme1819z1845z9z12z15z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pdme1819z1819z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pdme18111z1819z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
apop_h,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pchol18111z1845z9z12z15z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pchol1829z12z1835z9z12z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pme18111z1845z9z12z15z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
Asn_X_Ser_FSLASH_Thr_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pme1819z1819z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pchol1801835z9z12z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pme1819z1829z12z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pme1829z12z1835z9z12z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pdme18111z1845z9z12z15z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pme18111z1835z9z12z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pme1801835z9z12z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pdme1819z1829z12z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
pme18111z1819z_c,missing_metanetx_id,high,no metanetx.chemical annotation,map via InChIKey/name
