id,error_tag,confidence,check,rationale,proposed_fix,evidence,verdict_TP_FP,curator_note,fix_accepted
4pcys_c,bigg_id_deprecated,high,bigg_namespace,4pcys is an old BiGG id,rename to ptcys,,TP,,1
hso3_c,bigg_id_deprecated,high,bigg_namespace,hso3 is an old BiGG id,rename to so3,,TP,,1
hso3_e,bigg_id_deprecated,high,bigg_namespace,hso3 is an old BiGG id,rename to so3,,TP,,1
hso3_h,bigg_id_deprecated,high,bigg_namespace,hso3 is an old BiGG id,rename to so3,,TP,,1
hso3_m,bigg_id_deprecated,high,bigg_namespace,hso3 is an old BiGG id,rename to so3,,TP,,1
cacoa_c,charge_imbalance_localised,high,balance_localisation,"all 13 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 4}, which localises the error to this metabolite","formula -> C39H58N7O17P3S, charge -> -4",delta={'charge': 4}; current=C39H58N7O17P3S/0,TP,"This metabolite is found in a single model iRC1080. It has database connectors to BiGG, seed and metanetx but no association to chebi, inchikey, smiles or any other reference suggesting that this is a real metabolite. Web searches for variants of the metabolite name in pubchem and chebi resulted in no matches found. If available, this should have triggered a search through the chebi/pubchem/unichem API or a literature search. This should raise two additional flags to the charge_imbalance_localised: uncurated_metabolite and probable_fantasy_metabolite. It should also raise a flag and a note on all reactions it participates in for a reaction_reviewer agent to check.",0
pa16018111Z_c,charge_imbalance_localised,high,balance_localisation,"all 10 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the error to this metabolite","formula -> C37H69O8P, charge -> -2",delta={'charge': 2}; current=C37H69O8P/0,TP,see curator note for cacoa_c,0
pa1601819Z_c,charge_imbalance_localised,high,balance_localisation,"all 10 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the error to this metabolite","formula -> C37H69O8P, charge -> -2",delta={'charge': 2}; current=C37H69O8P/0,TP,see curator note for cacoa_c,0
pa1801819Z_c,charge_imbalance_localised,high,balance_localisation,"all 11 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the error to this metabolite","formula -> C39H73O8P, charge -> -2",delta={'charge': 2}; current=C39H73O8P/0,TP,see curator note for cacoa_c,0
pa18111Z160_c,charge_imbalance_localised,high,balance_localisation,"all 11 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the error to this metabolite","formula -> C37H69O8P, charge -> -2",delta={'charge': 2}; current=C37H69O8P/0,TP,see curator note for cacoa_c,0
pa18111Z18111Z_c,charge_imbalance_localised,high,balance_localisation,"all 10 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the error to this metabolite","formula -> C39H71O8P, charge -> -2",delta={'charge': 2}; current=C39H71O8P/0,TP,see curator note for cacoa_c,0
pa18111Z1819Z_c,charge_imbalance_localised,high,balance_localisation,"all 11 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the error to this metabolite","formula -> C39H71O8P, charge -> -2",delta={'charge': 2}; current=C39H71O8P/0,TP,see curator note for cacoa_c,0
2oglutm_h,charge_implausible_for_formula,high,charge_plausibility,"charge 0 appears on no MetaNetX entry with formula C5H6NO4; all 23 entries carry [-1.0] — and the assigned MetaNetX id has no charge of its own, so this value was hand-filled",set charge to -1 after confirming the protonation state,formula=C5H6NO4 n_ref_entries=23,TP,"see curator note for: 2oglutm_h,uncurated_name_stub",0
gal1p_L_c,charge_implausible_for_formula,high,charge_plausibility,"charge 0 appears on no MetaNetX entry with formula C6H11O9P; all 58 entries carry [-2.0] — and the assigned MetaNetX id has no charge of its own, so this value was hand-filled",set charge to -2 after confirming the protonation state,formula=C6H11O9P n_ref_entries=58,TP,"Although you identified the correct charge, this metabolite does not have a correct metanetx identifier. Formula changes should be deferred to a second review round after a human in the loop reviewer has assigned the correct metanetx identifier and formula and charges have been updated from metanetx or another database.",0
hmcit_L_m,charge_implausible_for_formula,high,charge_plausibility,"charge 0 appears on no MetaNetX entry with formula C7H7O7; all 18 entries carry [-3.0, -1.0] — and the assigned MetaNetX id has no charge of its own, so this value was hand-filled",set charge to -3 after confirming the protonation state,formula=C7H7O7 n_ref_entries=18,TP,"see curator note for: gal1p_L_c,charge_implausible_for_formula",0
hpot13_c,charge_implausible_for_formula,high,charge_plausibility,"charge 0 appears on no MetaNetX entry with formula C18H29O4; all 27 entries carry [-1.0] — and the assigned MetaNetX id has no charge of its own, so this value was hand-filled",set charge to -1 after confirming the protonation state,formula=C18H29O4 n_ref_entries=27,TP,"Although you identified the correct charge, charge annotations from databases is prefered over calculated ones. This metabolite has a sabiork identifier. A search using sabiork api would have propagated the identifiers to a metacyc compound, which would have propagated to the chebi identifier with the correct charge annotation. Although metacyc is not available from this machine, the expected behavior is to propagate annotations first through the external database identifiers and their APIs when those are available.",0
whlnlc_h,charge_implausible_for_formula,high,charge_plausibility,"charge 0 appears on no MetaNetX entry with formula C18H31O3; all 24 entries carry [-1.0] — and the assigned MetaNetX id has no charge of its own, so this value was hand-filled",set charge to -1 after confirming the protonation state,formula=C18H31O3 n_ref_entries=24,TP,see curator note for cacoa_c,0
whodce9a_h,charge_implausible_for_formula,high,charge_plausibility,"charge 0 appears on no MetaNetX entry with formula C18H33O3; all 18 entries carry [-1.0] — and the assigned MetaNetX id has no charge of its own, so this value was hand-filled",set charge to -1 after confirming the protonation state,formula=C18H33O3 n_ref_entries=18,TP,see curator note for cacoa_c,0
