id,error_tag,confidence,check,rationale,proposed_fix,evidence
<schema>,schema_anomaly,high,schema,column 'keeg.glycan' looks like a misspelling of 'kegg.glycan' and carries 31 values that no check will read,rename 'keeg.glycan' to 'kegg.glycan' and merge the values,keeg.glycan
pdme1801829z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pchol1819z1845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pdme1819z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pdme1829z12z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pdme1801819z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
glc_D_B_c,deprecated_metanetx_id,high,metanetx_ids,MNXM1105026 is deprecated in the current MetaNetX release,"replace with MNXM1364060,MNXM1364061,MNXM1364062 (pick by formula/charge match)","MNXM1105026 -> MNXM1364060,MNXM1364061,MNXM1364062"
pme1819z1845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pdme1819z1819z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pdme18111z1819z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
apop_h,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pchol18111z1845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pchol1829z12z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pme18111z1845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
Asn_X_Ser_FSLASH_Thr_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pme1819z1819z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pchol1801835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
gal1p_L_c,deprecated_metanetx_id,high,metanetx_ids,MNXM1106067 is deprecated in the current MetaNetX release,"replace with MNXM1364212,MNXM1364213,MNXM1364214 (pick by formula/charge match)","MNXM1106067 -> MNXM1364212,MNXM1364213,MNXM1364214"
pme1819z1829z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pme1829z12z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
campstnl_c,deprecated_metanetx_id,high,metanetx_ids,MNXM736368 is deprecated in the current MetaNetX release,"replace with MNXM1371753,MNXM1371754 (pick by formula/charge match)","MNXM736368 -> MNXM1371753,MNXM1371754"
