id,error_tag,confidence,check,rationale,proposed_fix,fix_verb,fix_arg,evidence,route,reaction_flag,reaction_note
pdme1801829z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pchol1819z1845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pdme1819z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pdme1829z12z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pdme1801819z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
glc_D_B_c,deprecated_metanetx_id,high,metanetx_ids,MNXM1105026 is deprecated in the current MetaNetX release,"replace with MNXM1364060,MNXM1364061,MNXM1364062 (pick by formula/charge match)","","","MNXM1105026 -> MNXM1364060,MNXM1364061,MNXM1364062",annotation,"",""
pme1819z1845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pdme1819z1819z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pdme18111z1819z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
apop_h,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pchol18111z1845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
