id,error_tag,confidence,check,rationale,proposed_fix,fix_verb,fix_arg,evidence,route,reaction_flag,reaction_note
12dgr1601819Z_h,charge_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': -2}, which localises the arithmetic to this metabolite, but 2mhop_m carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': -2}; current=C37H70O5/0; cancels_with=2mhop_m,balance,imbalance_cancels_between_metabolites,12dgr1601819Z_h and 2mhop_m carry equal and opposite imbalance {'charge': -2}; the stoichiometry of these reactions is the likely error
12dgr1801819Z_h,charge_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': -2}, which localises the arithmetic to this metabolite, but 2mhop_m carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': -2}; current=C39H74O5/0; cancels_with=2mhop_m,balance,imbalance_cancels_between_metabolites,12dgr1801819Z_h and 2mhop_m carry equal and opposite imbalance {'charge': -2}; the stoichiometry of these reactions is the likely error
12dgr18111Z160_c,charge_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': -2}, which localises the arithmetic to this metabolite, but 2mhop_m carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': -2}; current=C37H70O5/0; cancels_with=2mhop_m,balance,imbalance_cancels_between_metabolites,12dgr18111Z160_c and 2mhop_m carry equal and opposite imbalance {'charge': -2}; the stoichiometry of these reactions is the likely error
12dgr18111Z1819Z_h,charge_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': -2}, which localises the arithmetic to this metabolite, but 2mhop_m carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': -2}; current=C39H72O5/0; cancels_with=2mhop_m,balance,imbalance_cancels_between_metabolites,12dgr18111Z1819Z_h and 2mhop_m carry equal and opposite imbalance {'charge': -2}; the stoichiometry of these reactions is the likely error
12dgr18111z18111z_h,charge_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': -2}, which localises the arithmetic to this metabolite, but 2mhop_m carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': -2}; current=C39H72O5/0; cancels_with=2mhop_m,balance,imbalance_cancels_between_metabolites,12dgr18111z18111z_h and 2mhop_m carry equal and opposite imbalance {'charge': -2}; the stoichiometry of these reactions is the likely error
12dgr1819Z160_c,charge_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': -2}, which localises the arithmetic to this metabolite, but 2mhop_m carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': -2}; current=C37H70O5/0; cancels_with=2mhop_m,balance,imbalance_cancels_between_metabolites,12dgr1819Z160_c and 2mhop_m carry equal and opposite imbalance {'charge': -2}; the stoichiometry of these reactions is the likely error
12dgr1819Z1619Z_c,charge_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': -2}, which localises the arithmetic to this metabolite, but 2mhop_m carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': -2}; current=C37H68O5/0; cancels_with=2mhop_m,balance,imbalance_cancels_between_metabolites,12dgr1819Z1619Z_c and 2mhop_m carry equal and opposite imbalance {'charge': -2}; the stoichiometry of these reactions is the likely error
12dgr1819Z18111Z_h,charge_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': -2}, which localises the arithmetic to this metabolite, but 2mhop_m carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': -2}; current=C39H72O5/0; cancels_with=2mhop_m,balance,imbalance_cancels_between_metabolites,12dgr1819Z18111Z_h and 2mhop_m carry equal and opposite imbalance {'charge': -2}; the stoichiometry of these reactions is the likely error
12dgr1819Z1819Z_h,charge_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': -2}, which localises the arithmetic to this metabolite, but 2mhop_m carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': -2}; current=C39H72O5/0; cancels_with=2mhop_m,balance,imbalance_cancels_between_metabolites,12dgr1819Z1819Z_h and 2mhop_m carry equal and opposite imbalance {'charge': -2}; the stoichiometry of these reactions is the likely error
26dmani_e,mass_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': 1, 'charge': 1}, which localises the arithmetic to this metabolite, but 2ahhmd_c carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': 1, 'charge': 1}; current=C8H11N/0; cancels_with=2ahhmd_c",balance,imbalance_cancels_between_metabolites,"26dmani_e and 2ahhmd_c carry equal and opposite imbalance {'H': 1, 'charge': 1}; the stoichiometry of these reactions is the likely error"
2ahhmd_c,mass_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': -1, 'charge': -1}, which localises the arithmetic to this metabolite, but 26dmani_e carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': -1, 'charge': -1}; current=C7H8N5O8P2/-3; cancels_with=26dmani_e",balance,imbalance_cancels_between_metabolites,"2ahhmd_c and 26dmani_e carry equal and opposite imbalance {'H': -1, 'charge': -1}; the stoichiometry of these reactions is the likely error"
2mhob_m,mass_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': 3, 'charge': 3}, which localises the arithmetic to this metabolite, but seln_c carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': 3, 'charge': 3}; current=C17H29N4O8P2S/1; cancels_with=seln_c",balance,imbalance_cancels_between_metabolites,"2mhob_m and seln_c carry equal and opposite imbalance {'H': 3, 'charge': 3}; the stoichiometry of these reactions is the likely error"
2mhop_m,charge_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the arithmetic to this metabolite, but 12dgr1601819Z_h carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': 2}; current=C16H24N4O8P2S/0; cancels_with=12dgr1601819Z_h,balance,imbalance_cancels_between_metabolites,2mhop_m and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
35cgmp_c,mass_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': 1, 'charge': 1}, which localises the arithmetic to this metabolite, but 2ahhmd_c carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': 1, 'charge': 1}; current=C10H11N5O7P/-1; cancels_with=2ahhmd_c",balance,imbalance_cancels_between_metabolites,"35cgmp_c and 2ahhmd_c carry equal and opposite imbalance {'H': 1, 'charge': 1}; the stoichiometry of these reactions is the likely error"
3mhtpp_m,mass_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': 3, 'charge': 3}, which localises the arithmetic to this metabolite, but seln_c carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': 3, 'charge': 3}; current=C17H29N4O8P2S/1; cancels_with=seln_c",balance,imbalance_cancels_between_metabolites,"3mhtpp_m and seln_c carry equal and opposite imbalance {'H': 3, 'charge': 3}; the stoichiometry of these reactions is the likely error"
5aizc_c,mass_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': 1, 'charge': 1}, which localises the arithmetic to this metabolite, but 2ahhmd_c carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': 1, 'charge': 1}; current=C9H12N3O9P/-2; cancels_with=2ahhmd_c",balance,imbalance_cancels_between_metabolites,"5aizc_c and 2ahhmd_c carry equal and opposite imbalance {'H': 1, 'charge': 1}; the stoichiometry of these reactions is the likely error"
5aop_h,mass_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': 1, 'charge': 1}, which localises the arithmetic to this metabolite, but 2ahhmd_c carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': 1, 'charge': 1}; current=C5H9NO3/0; cancels_with=2ahhmd_c",balance,imbalance_cancels_between_metabolites,"5aop_h and 2ahhmd_c carry equal and opposite imbalance {'H': 1, 'charge': 1}; the stoichiometry of these reactions is the likely error"
5hiu_m,mass_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': 1, 'charge': 1}, which localises the arithmetic to this metabolite, but 2ahhmd_c carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': 1, 'charge': 1}; current=C5H4N4O4/0; cancels_with=2ahhmd_c",balance,imbalance_cancels_between_metabolites,"5hiu_m and 2ahhmd_c carry equal and opposite imbalance {'H': 1, 'charge': 1}; the stoichiometry of these reactions is the likely error"
Ncbmpts_m,mass_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': -1, 'charge': -1}, which localises the arithmetic to this metabolite, but 26dmani_e carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': -1, 'charge': -1}; current=C5H14N3O/1; cancels_with=26dmani_e",balance,imbalance_cancels_between_metabolites,"Ncbmpts_m and 26dmani_e carry equal and opposite imbalance {'H': -1, 'charge': -1}; the stoichiometry of these reactions is the likely error"
ahdt_c,mass_imbalance_localised,high,balance_localisation,"all 3 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': 1, 'charge': 1}, which localises the arithmetic to this metabolite, but 2ahhmd_c carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': 1, 'charge': 1}; current=C9H12N5O13P3/-4; cancels_with=2ahhmd_c",balance,imbalance_cancels_between_metabolites,"ahdt_c and 2ahhmd_c carry equal and opposite imbalance {'H': 1, 'charge': 1}; the stoichiometry of these reactions is the likely error"
air_c,mass_imbalance_localised,high,balance_localisation,"all 3 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': -1, 'charge': -1}, which localises the arithmetic to this metabolite, but 26dmani_e carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': -1, 'charge': -1}; current=C8H13N3O7P/-1; cancels_with=26dmani_e",balance,imbalance_cancels_between_metabolites,"air_c and 26dmani_e carry equal and opposite imbalance {'H': -1, 'charge': -1}; the stoichiometry of these reactions is the likely error"
asn__L_m,mass_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': 1, 'charge': 1}, which localises the arithmetic to this metabolite, but 2ahhmd_c carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': 1, 'charge': 1}; current=C4H8N2O3/0; cancels_with=2ahhmd_c",balance,imbalance_cancels_between_metabolites,"asn__L_m and 2ahhmd_c carry equal and opposite imbalance {'H': 1, 'charge': 1}; the stoichiometry of these reactions is the likely error"
