reaction,name,imbalance,classes,has_placeholder,localised_metabolites
PRISM_solar_litho,spectral decomposition of solar light measured from Earth's surface,{'Z': -0.04986},Z,true,""
PRISM_solar_exo,spectral decomposition of solar light measured from outer space,{'Z': 0.01248},Z,true,""
PRISM_incandescent_60W,spectral decomposition of 60W incandescent light bulb,{'Z': -0.385049},Z,true,""
PRISM_fluorescent_warm_18W,spectral decomposition of 18W warm white fluorescent light bulb,{'Z': -0.098394},Z,true,""
PRISM_fluorescent_cool_215W,spectral decomposition of 215W cool white fluorescent light bulb,{'Z': -0.275329},Z,true,""
PRISM_metal_halide,spectral decomposition of metal halide lamp,{'Z': -0.229874},Z,true,""
PRISM_high_pressure_sodium,spectral decomposition of high pressure sodium lamp,{'Z': -0.518037},Z,true,""
PRISM_growth_room,spectral decomposition of growth room,{'Z': -0.305339},Z,true,""
PRISM_white_LED,spectral decomposition of white LED,{'Z': -0.365097},Z,true,""
PRISM_red_LED_array_653nm,spectral decomposition of red LED array (653nm),{'Z': 0.34011},Z,true,""
PRISM_red_LED_674nm,spectral decomposition of red LED (674nm),{'Z': 0.651196},Z,true,""
PRISM_design_growth,spectral decomposition of an optimized LED for growth,{'Z': 0.592759},Z,true,""
PS_asn__L_c,incorporation of asn-L residue into a protein,"{'C': 1.0, 'H': 1.0, 'N': 1.0, 'O': 1.0, 'R': 2.0}","C,H,N,O,R",true,""
CY_focytc_h,"ferrocytochrome c recycle, chloroplast","{'C': -18.0, 'H': -40.0, 'N': -8.0, 'O': -4.0, 'S': -4.0, 'charge': 4.0}","C,H,N,O,S,charge",false,""
BIOMASS_hlacus_auto,Biomass (autotrophic),"{'C': -38.584422, 'H': -62.792218, 'charge': 0.158467, 'N': -0.336822, 'O': -29.002596, 'S': -0.01775, 'P': -0.12565, 'Mg': -0.003308}","C,H,Mg,N,O,P,S,charge",false,""
BIOMASS_hlacus_mixo,Biomass (mixotrophic),"{'C': -39.025537, 'H': -63.171729, 'charge': 0.213143, 'N': -0.437491, 'O': -28.469835, 'S': -0.019121, 'P': -0.170176, 'Mg': -0.003723}","C,H,Mg,N,O,P,S,charge",true,""
BIOMASS_hlacus_hetero,Biomass (heterotrophic),"{'C': -39.048901, 'H': -63.192018, 'charge': 0.212929, 'N': -0.441618, 'O': -28.446044, 'S': -0.019102, 'P': -0.170006, 'Mg': -0.00486}","C,H,Mg,N,O,P,S,charge",true,""
AIRth,"AIR transport, chloroplast","{'H': 1.0, 'charge': 1.0}","H,charge",false,air_c
PPIth,PPI chloroplast transport,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
UDPth,"UDP transport viafacilitated diffusion, chloroplast","{'H': 1.0, 'charge': 1.0}","H,charge",false,""
UMPth,"UMP transport viafacilitated diffusion, chloroplast","{'H': 1.0, 'charge': 1.0}","H,charge",false,""
METHFtx,"5,10-Methenyltetrahydrofolate uptake carrier, glyoxysome","{'H': 1.0, 'charge': 1.0}","H,charge",false,""
DHORStm,"(S)-Dihydroorotate transport viafacilitated diffusion, mitochondria","{'H': 1.0, 'charge': 1.0}","H,charge",false,""
