id,error_tag,confidence,check,rationale,proposed_fix,fix_verb,fix_arg,evidence,route,reaction_flag,reaction_note
pe1819Z1829Z12Z_c,reference_lacks_structure,low,reference_without_structure,"assigned MNXM146447 carries no formula or charge in MetaNetX, so formula/charge here are unverified rather than confirmed",verify formula and charge against MetaCyc/KEGG or a structure source,"","","",observation,"",""
sqdg18111Z160_h,reference_lacks_structure,low,reference_without_structure,"assigned MNXM146312 carries no formula or charge in MetaNetX, so formula/charge here are unverified rather than confirmed",verify formula and charge against MetaCyc/KEGG or a structure source,"","","",observation,"",""
dgts1839Z12Z15Z1835Z9Z12Z_c,reference_lacks_structure,low,reference_without_structure,"assigned MNXM146554 carries no formula or charge in MetaNetX, so formula/charge here are unverified rather than confirmed",verify formula and charge against MetaCyc/KEGG or a structure source,"","","",observation,"",""
sqdg1839Z12Z15Z160_h,reference_lacks_structure,low,reference_without_structure,"assigned MNXM147311 carries no formula or charge in MetaNetX, so formula/charge here are unverified rather than confirmed",verify formula and charge against MetaCyc/KEGG or a structure source,"","","",observation,"",""
mppp9me_h,reference_lacks_structure,low,reference_without_structure,"assigned MNXM148334 carries no formula or charge in MetaNetX, so formula/charge here are unverified rather than confirmed",verify formula and charge against MetaCyc/KEGG or a structure source,"","","",observation,"",""
pg18111Z1613E_h,reference_lacks_structure,low,reference_without_structure,"assigned MNXM147276 carries no formula or charge in MetaNetX, so formula/charge here are unverified rather than confirmed",verify formula and charge against MetaCyc/KEGG or a structure source,"","","",observation,"",""
dgdg1819Z1634Z7Z10Z_h,reference_lacks_structure,low,reference_without_structure,"assigned MNXM146556 carries no formula or charge in MetaNetX, so formula/charge here are unverified rather than confirmed",verify formula and charge against MetaCyc/KEGG or a structure source,"","","",observation,"",""
pe1819Z1829Z12Z_e,reference_lacks_structure,low,reference_without_structure,"assigned MNXM146447 carries no formula or charge in MetaNetX, so formula/charge here are unverified rather than confirmed",verify formula and charge against MetaCyc/KEGG or a structure source,"","","",observation,"",""
mgdg1829Z12Z1634Z7Z10Z_h,reference_lacks_structure,low,reference_without_structure,"assigned MNXM146290 carries no formula or charge in MetaNetX, so formula/charge here are unverified rather than confirmed",verify formula and charge against MetaCyc/KEGG or a structure source,"","","",observation,"",""
dgts1829Z12Z1835Z9Z12Z_c,reference_lacks_structure,low,reference_without_structure,"assigned MNXM146270 carries no formula or charge in MetaNetX, so formula/charge here are unverified rather than confirmed",verify formula and charge against MetaCyc/KEGG or a structure source,"","","",observation,"",""
pg18111Z160_e,reference_lacks_structure,low,reference_without_structure,"assigned MNXM146304 carries no formula or charge in MetaNetX, so formula/charge here are unverified rather than confirmed",verify formula and charge against MetaCyc/KEGG or a structure source,"","","",observation,"",""
pgp18111Z160_e,reference_lacks_structure,low,reference_without_structure,"assigned MNXM146610 carries no formula or charge in MetaNetX, so formula/charge here are unverified rather than confirmed",verify formula and charge against MetaCyc/KEGG or a structure source,"","","",observation,"",""
12dgr18111z18111z_h,reference_lacks_structure,low,reference_without_structure,"assigned MNXM145577 carries no formula or charge in MetaNetX, so formula/charge here are unverified rather than confirmed",verify formula and charge against MetaCyc/KEGG or a structure source,"","","",observation,"",""
sqdg18111Z160_c,reference_lacks_structure,low,reference_without_structure,"assigned MNXM146312 carries no formula or charge in MetaNetX, so formula/charge here are unverified rather than confirmed",verify formula and charge against MetaCyc/KEGG or a structure source,"","","",observation,"",""
pe1819Z1845Z9Z12Z15Z_c,reference_lacks_structure,low,reference_without_structure,"assigned MNXM146216 carries no formula or charge in MetaNetX, so formula/charge here are unverified rather than confirmed",verify formula and charge against MetaCyc/KEGG or a structure source,"","","",observation,"",""
