reaction,reaction_name,reaction_string,metabolite,flag,source_tag,note
1AGPEAT1801835Z9Z12Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:0/18:3(5Z,12Z,15Z))",1agpe180_c + pacoa_c --> coa_c + pe1801835Z9Z12Z_c,pacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,pacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
1AGPEAT1801845Z9Z12Z15Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:0/18:4(5Z,9Z,12Z,15Z))",1agpe180_c + cacoa_c --> coa_c + pe1801845Z9Z12Z15Z_c,cacoa_c,charge_unresolved_no_reference,charge_implausible_for_formula,cacoa_c carries an implausible charge that no database can arbitrate; reactions using it may appear charge-imbalanced for that reason
1AGPEAT1801845Z9Z12Z15Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:0/18:4(5Z,9Z,12Z,15Z))",1agpe180_c + cacoa_c --> coa_c + pe1801845Z9Z12Z15Z_c,cacoa_c,imbalance_unresolved_no_reference,charge_imbalance_localised,cacoa_c has no reference formula/charge; the imbalance in these reactions cannot be attributed until it is annotated
1AGPEAT1801845Z9Z12Z15Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:0/18:4(5Z,9Z,12Z,15Z))",1agpe180_c + cacoa_c --> coa_c + pe1801845Z9Z12Z15Z_c,cacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,cacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
1AGPEAT18111Z1835Z9Z12Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:1(11Z)/18:3(5Z,12Z,15Z))",1agpe18111Z_c + pacoa_c --> coa_c + pe18111Z1835Z9Z12Z_c,pacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,pacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
1AGPEAT18111Z1845Z9Z12Z15Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:1(11Z)/18:4(5Z,9Z,12Z,15Z))",1agpe18111Z_c + cacoa_c --> coa_c + pe18111Z1845Z9Z12Z15Z_c,cacoa_c,charge_unresolved_no_reference,charge_implausible_for_formula,cacoa_c carries an implausible charge that no database can arbitrate; reactions using it may appear charge-imbalanced for that reason
1AGPEAT18111Z1845Z9Z12Z15Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:1(11Z)/18:4(5Z,9Z,12Z,15Z))",1agpe18111Z_c + cacoa_c --> coa_c + pe18111Z1845Z9Z12Z15Z_c,cacoa_c,imbalance_unresolved_no_reference,charge_imbalance_localised,cacoa_c has no reference formula/charge; the imbalance in these reactions cannot be attributed until it is annotated
1AGPEAT18111Z1845Z9Z12Z15Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:1(11Z)/18:4(5Z,9Z,12Z,15Z))",1agpe18111Z_c + cacoa_c --> coa_c + pe18111Z1845Z9Z12Z15Z_c,cacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,cacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
1AGPEAT1819Z1835Z9Z12Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:1(9Z)/18:3(5Z,12Z,15Z))",1agpe1819Z_c + pacoa_c --> coa_c + pe1819Z1835Z9Z12Z_c,pacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,pacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
1AGPEAT1819Z1845Z9Z12Z15Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:1(9Z)/18:4(5Z,9Z,12Z,15Z))",1agpe1819Z_c + cacoa_c --> coa_c + pe1819Z1845Z9Z12Z15Z_c,cacoa_c,charge_unresolved_no_reference,charge_implausible_for_formula,cacoa_c carries an implausible charge that no database can arbitrate; reactions using it may appear charge-imbalanced for that reason
