id,name,formula,charge,biocyc,chebi,hmdb,inchikey,kegg.compound,metanetx.chemical,reactome,seed.compound,KEGGDrug,lipidmaps
tartr__D,D-tartrate,C4H4O6,-2,,,,,c02107,,,cpd19018,,
drib,Deoxyribose,C5H10O4,0,,CHEBI:90761,HMDB03224,PDWIQYODPROSQH-PYHARJCCSA-N,C01801,MNXM90412,,cpd01242,,
dha,Dihydroxyacetone,C3H6O3,0,,,,,c00184,,,cpd00157,,
oxa,Oxalate,C2O4,0,META:OXALATE,CHEBI:132952,HMDB02329,MUBZPKHOEPUJKR-UHFFFAOYSA-L,C00209,MNXM291,R-ALL-389819,cpd00180,,
frmd,Formamide,CH3NO,0,,,,,c00488,,,cpd00378,,
lcts,Lactose,C12H22O11,0,META:CPD-15971,CHEBI:10296,HMDB41627,GUBGYTABKSRVRQ-QKKXKWKRSA-N,C00243,MNXM362,,cpd00208,D00046,
xan,Xanthine,C5H4N4O2,0,META:XANTHINE,CHEBI:10059,HMDB00292,LRFVTYWOQMYALW-UHFFFAOYSA-N,C00385,MNXM174,R-ALL-30064,cpd00309,,
fum,Fumarate,C4H2O4,0,META:FUM,CHEBI:14284,HMDB00134,VZCYOOQTPOCHFL-OWOJBTEDSA-L,C00122,MNXM93,R-ALL-113588,cpd00106,D02308,
galctn__D,galctn-D[c],C6H10O6,0,META:D-GALACTONATE,CHEBI:12931,HMDB00565,RGHNJXZEOKUKBD-MGCNEYSASA-M,C00880,MNXM1734,,cpd00653,,
glcur,D-Glucuronate,C6H9O7,0,META:D-Glucopyranuronate,CHEBI:12975,,AEMOLEFTQBMNLQ-AQKNRBDQSA-M,C00191,MNXM241,,cpd00164,,
tyr__L,L-Tyrosine,C9H11NO3,0,META:TYR,CHEBI:13181,HMDB00158,OUYCCCASQSFEME-QMMMGPOBSA-N,C00082,MNXM76,R-ALL-29506,cpd00069,D00022,
ins,Inosine,C10H12N4O5,0,META:INOSINE,CHEBI:14456,HMDB00195,UGQMRVRMYYASKQ-KQYNXXCUSA-N,C00294,MNXM334,R-ALL-83921,cpd00246,D00054,
sucr,Sucrose,C12H22O11,0,META:SUCROSE,CHEBI:15128,HMDB00258,CZMRCDWAGMRECN-UGDNZRGBSA-N,C00089,MNXM167,R-ALL-188980,cpd00076,D00025,
lys__L,L-Lysine,C6H15N2O2,0,META:LYS,CHEBI:13135,HMDB00182,KDXKERNSBIXSRK-YFKPBYRVSA-O,C00047,MNXM78,R-ALL-29444,cpd00039,D02304,
glcr,D-Glucarate,,0,,,,,,,,,,
glyc,Glycerol,C3H8O3,0,META:GLYCEROL,CHEBI:131422,HMDB00131,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C00116,MNXM89612,R-ALL-192438,cpd00100,D00028,
adn,Adenosine,C10H13N5O4,0,META:ADENOSINE,CHEBI:13734,HMDB00050,OIRDTQYFTABQOQ-KQYNXXCUSA-N,C00212,MNXM212,R-ALL-83908,cpd00182,D00045,
ham,Hydroxylamine,,0,,,,,,,,,,
uri,Uridine,C9H12N2O6,0,META:URIDINE,CHEBI:15296,HMDB00296,DRTQHJPVMGBUCF-XVFCMESISA-N,C00299,MNXM288,,cpd00249,,
tre,Trehalose,C12H22O11,0,META:CPD-15990,CHEBI:10202,HMDB00975,HDTRYLNUVZCQOY-LIZSDCNHSA-N,C01083,MNXM198,R-ALL-189078,cpd00794,,
thr__L,L-Threonine,C4H9NO3,0,META:THR,CHEBI:13175,HMDB00167,AYFVYJQAPQTCCC-GBXIJSLDSA-N,C00188,MNXM142,R-ALL-351990,cpd00161,D00041,
citr__L,L-Citrulline,C6H14N3O3,0,META:L-CITRULLINE,CHEBI:13092,HMDB00904,RHGKLRLOHDJJDR-BYPYZUCNSA-N,C00327,MNXM211,R-ALL-113567,cpd00274,D07706,
glx,Glyoxylate,C2HO3,0,META:GLYOX,CHEBI:14368,HMDB00119,HHLFWLYXYJOTON-UHFFFAOYSA-M,C00048,MNXM69,R-ALL-389678,cpd00040,,
tym,Tyramine,C8H12NO,1,,,,,c00483,,r-all-500606,cpd00374,,
glcn,D-Gluconate,C6H11O7,0,META:GLUCONATE,CHEBI:12955,HMDB00625,RGHNJXZEOKUKBD-SQOUGZDYSA-M,C00257,MNXM341,,cpd00222,,
malttr,Maltotriose C18H32O16,,0,,,,,,,,,,
ser__D,ser-D[c],C3H7NO3,0,META:D-SERINE,CHEBI:13019,HMDB03406,MTCFGRXMJLQNBG-UWTATZPHSA-N,C00740,MNXM694,,cpd00550,,
but,Butyrate (n-C4:0),C4H7O2,0,,,,,,MNXM162281,,,,
ppa,Propionate (n-C3:0),C3H5O2,0,,,,,,MNXM162260,,,,
agm,Agmatine,C5H16N4,0,META:AGMATHINE,CHEBI:13747,HMDB01432,QYPPJABKJHAVHS-UHFFFAOYSA-P,C00179,MNXM328,R-ALL-351164,cpd00152,,
2obut,2-Oxobutanoate,C4H5O3,0,META:2-OXOBUTANOATE,CHEBI:11636,HMDB00005,TYEYBOSBBBHJIV-UHFFFAOYSA-M,C00109,MNXM159,R-ALL-936714,cpd00094,,LMFA01060002
raffin,Raffinose,C18H32O16,0,META:CPD-1099,CHEBI:15015,HMDB03213,MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,C00492,MNXM621,,cpd00382,,
hxa,Hexanoate (n-C6:0),C6H11O2,-1,,,,,c01585,,r-all-444194,cpd01113,,lmfa01010006
inost,myo-Inositol,C6H12O6,0,META:CPD-8052,CHEBI:10601,HMDB00211,CDAISMWEOUEBRE-GPIVLXJGSA-N,C00137,MNXM127,R-ALL-426910,cpd00121,D08079,
pyr,Pyruvate,C3H3O3,0,META:PYRUVATE,CHEBI:14987,HMDB00243,LCTONWCANYUPML-UHFFFAOYSA-M,C00022,MNXM23,R-ALL-1130930,cpd00020,,LMFA01060077
